"","cod"
"910","E88.09"
"911","E88.2"
"912","E88.81"
"913","E88.9"
"914","E89.0"
"915","E89.2"
"916","F01.50"
"917","F01.51"
"918","F02.80"
"919","F02.81"
"920","F03.90"
"921","F03.91"
"922","F05"
"923","F06.2"
"924","F0796FZ"
"925","F0796ZZ"
"926","F07C6FZ"
"927","F07K0ZZ"
"928","F07K6ZZ"
"929","F07K7ZZ"
"930","F07L0ZZ"
"931","F07L6ZZ"
"932","F07L7ZZ"
"933","F07M3ZZ"
"934","F07M6ZZ"
"935","F07Z9YZ"
"936","F07Z9ZZ"
"937","F08G5BZ"
"938","F09"
"939","F10.10"
"940","F10.20"
"941","F10.21"
"942","F10.96"
"943","F11.20"
"944","F12.11"
"945","F12.21"
"946","F13.21"
"947","F13ZLZZ"
"948","F14.10"
"949","F14.11"
"950","F14.20"
"951","F17.210"
"952","F17.290"
"953","F19.90"
"954","F20.0"
"955","F20.2"
"956","F20.89"
"957","F20.9"
"958","F23"
"959","F25.0"
"960","F25.9"
"961","F29"
"962","F31.9"
"963","F32.3"
"964","F32.9"
"965","F33.2"
"966","F34.1"
"967","F39"
"968","F41.1"
"969","F41.8"
"970","F41.9"
"971","F43.0"
"972","F43.20"
"973","F43.21"
"974","F43.29"
"975","F43.9"
"976","F44.89"
"977","F45.8"
"978","F50.81"
"979","F50.89"
"980","F50.9"
"981","F51.02"
"982","F51.04"
"983","F51.5"
"984","F55.8"
"985","F60.2"
"986","F60.3"
"987","F60.4"
"988","F60.89"
"989","F60.9"
"990","F71"
"991","F79"
"992","F80.9"
"993","F84.0"
"994","F84.5"
"995","F91.9"
"996","F99"
"997","G04.30"
"998","G09"
"999","G10"
"1000","G11.1"
"1001","G20"
"1002","G21.0"
"1003","G21.19"
"1004","G21.4"
"1005","G25.0"
"1006","G25.81"
"1007","G25.82"
"1008","G30.9"
"1009","G31.09"
"1010","G31.2"
"1011","G31.83"
"1012","G31.84"
"1013","G31.89"
"1014","G31.9"
"1015","G35"
"1016","G40.109"
"1017","G40.409"
"1018","G40.509"
"1019","G40.909"
"1020","G43.109"
"1021","G43.909"
"1022","G44.209"
"1023","G44.89"
"1024","G45.9"
"1025","G46.5"
"1026","G46.7"
"1027","G47.00"
"1028","G47.09"
"1029","G47.30"
"1030","G47.33"
"1031","G47.39"
"1032","G47.50"
"1033","G47.9"
"1034","G50.0"
"1035","G50.9"
"1036","G51.0"
"1037","G51.9"
"1038","G52.9"
"1039","G54.0"
"1040","G56.00"
"1041","G56.01"
"1042","G56.03"
"1043","G56.21"
"1044","G56.23"
"1045","G57.01"
"1046","G57.32"
"1047","G57.92"
"1048","G60.8"
"1049","G61.0"
"1050","G61.81"
"1051","G61.89"
"1052","G62.81"
"1053","G62.89"
"1054","G62.9"
"1055","G70.00"
"1056","G70.01"
"1057","G70.9"
"1058","G71.09"
"1059","G71.11"
"1060","G71.3"
"1061","G71.8"
"1062","G72.0"
"1063","G72.81"
"1064","G81.90"
"1065","G81.91"
"1066","G81.94"
"1067","G82.20"
"1068","G82.50"
"1069","G83.21"
"1070","G89.11"
"1071","G89.21"
"1072","G89.29"
"1073","G89.3"
"1074","G90.1"
"1075","G90.8"
"1076","G91.2"
"1077","G91.8"
"1078","G91.9"
"1079","G92"
"1080","G93.2"
"1081","G93.40"
"1082","G93.41"
"1083","G93.49"
"1084","G93.5"
"1085","G93.6"
"1086","G93.82"
"1087","G93.9"
"1088","G95.20"
"1089","G95.29"
"1090","G95.9"
"1091","G97.82"
"1092","GZ2ZZZZ"
"1093","GZ3ZZZZ"
"1094","GZ56ZZZ"
"1095","GZ59ZZZ"
"1096","GZ63ZZZ"
"1097","H02.30"
"1098","H02.403"
"1099","H04.129"
"1100","H10.33"
"1101","H10.89"
"1102","H10.9"
"1103","H16.9"
"1104","H20.9"
"1105","H26.9"
"1106","H33.20"
"1107","H33.22"
"1108","H33.23"
"1109","H34.12"
"1110","H35.30"
"1111","H35.3190"
"1112","H35.52"
"1113","H40.053"
"1114","H40.059"
"1115","H40.20X0"
"1116","H40.9"
"1117","H44.20"
"1118","H47.20"
"1119","H49.01"
"1120","H49.02"
"1121","H52.4"
"1122","H53.001"
"1123","H53.009"
"1124","H53.031"
"1125","H53.039"
"1126","H53.121"
"1127","H53.8"
"1128","H53.9"
"1129","H54.3"
"1130","H54.42A3"
"1131","H54.61"
"1132","H54.62"
"1133","H54.7"
"1134","H61.21"
"1135","H65.03"
"1136","H65.91"
"1137","H66.91"
"1138","H81.09"
"1139","H81.10"
"1140","H81.393"
"1141","H81.399"
"1142","H81.90"
"1143","H90.3"
"1144","H90.5"
"1145","H90.6"
"1146","H90.8"
"1147","H91.10"
"1148","H91.13"
"1149","H91.20"
"1150","H91.3"
"1151","H91.90"
"1152","H91.91"
"1153","H91.92"
"1154","H91.93"
"1155","H93.19"
"1156","I05.0"
"1157","I05.1"
"1158","I05.9"
"1159","I07.1"
"1160","I08.0"
"1161","I08.1"
"1162","I08.2"
"1163","I08.3"
"1164","I09.81"
"1165","I10"
"1166","I11.0"
"1167","I11.9"
"1168","I12.0"
"1169","I12.9"
"1170","I13.0"
"1171","I13.10"
"1172","I13.2"
"1173","I16.0"
"1174","I16.1"
"1175","I16.9"
"1176","I20.0"
"1177","I20.8"
"1178","I20.9"
"1179","I21.02"
"1180","I21.3"
"1181","I21.4"
"1182","I21.9"
"1183","I24.9"
"1184","I25.10"
"1185","I25.2"
"1186","I25.3"
"1187","I25.5"
"1188","I25.6"
"1189","I25.82"
"1190","I25.89"
"1191","I25.9"
"1192","I26.99"
"1193","I27.2"
"1194","I27.20"
"1195","I27.83"
"1196","I30.1"
"1197","I30.9"
"1198","I31.3"
"1199","I31.9"
"1200","I33.0"
"1201","I34.0"
"1202","I34.1"
"1203","I34.8"
"1204","I35.0"
"1205","I35.1"
"1206","I35.2"
"1207","I35.8"
"1208","I35.9"
"1209","I36.1"
"1210","I38"
"1211","I40.9"
"1212","I42.0"
"1213","I42.1"
"1214","I42.2"
"1215","I42.8"
"1216","I42.9"
"1217","I43"
"1218","I44.0"
"1219","I44.1"
"1220","I44.2"
"1221","I44.30"
"1222","I44.39"
"1223","I44.7"
"1224","I45.10"
"1225","I45.19"
"1226","I45.2"
"1227","I45.6"
"1228","I45.81"
"1229","I45.9"
"1230","I46.8"
"1231","I46.9"
"1232","I47.1"
"1233","I47.2"
"1234","I47.9"
"1235","I48.0"
"1236","I48.1"
"1237","I48.2"
"1238","I48.3"
"1239","I48.4"
"1240","I48.91"
"1241","I48.92"
"1242","I49.01"
"1243","I49.1"
"1244","I49.3"
"1245","I49.49"
"1246","I49.9"
"1247","I50.1"
"1248","I50.22"
"1249","I50.30"
"1250","I50.32"
"1251","I50.810"
"1252","I50.9"
"1253","I51.4"
"1254","I51.7"
"1255","I51.81"
"1256","I51.89"
"1257","I51.9"
"1258","I60.6"
"1259","I61.9"
"1260","I62.00"
"1261","I62.03"
"1262","I63.219"
"1263","I63.22"
"1264","I63.312"
"1265","I63.40"
"1266","I63.431"
"1267","I63.511"
"1268","I63.512"
"1269","I63.513"
"1270","I63.532"
"1271","I63.533"
"1272","I63.81"
"1273","I63.9"
"1274","I65.21"
"1275","I65.22"
"1276","I65.23"
"1277","I65.29"
"1278","I67.2"
"1279","I67.4"
"1280","I67.81"
"1281","I67.82"
"1282","I67.89"
"1283","I67.9"
"1284","I68.0"
"1285","I69.151"
"1286","I69.161"
"1287","I69.198"
"1288","I69.220"
"1289","I69.254"
"1290","I69.310"
"1291","I69.318"
"1292","I69.320"
"1293","I69.321"
"1294","I69.322"
"1295","I69.328"
"1296","I69.331"
"1297","I69.344"
"1298","I69.351"
"1299","I69.354"
"1300","I69.391"
"1301","I69.392"
"1302","I69.398"
"1303","I69.818"
"1304","I69.820"
"1305","I69.920"
"1306","I70.0"
"1307","I70.201"
"1308","I70.202"
"1309","I70.203"
"1310","I70.209"
"1311","I70.219"
"1312","I70.231"
"1313","I70.233"
"1314","I70.8"
"1315","I70.90"
"1316","I71.01"
"1317","I71.2"
"1318","I71.4"
"1319","I71.9"
"1320","I72.2"
"1321","I72.3"
"1322","I72.4"
"1323","I72.8"
"1324","I72.9"
"1325","I73.00"
"1326","I73.9"
"1327","I74.3"
"1328","I77.1"
"1329","I77.6"
"1330","I77.810"
"1331","I77.812"
"1332","I77.89"
"1333","I77.9"
"1334","I78.0"
"1335","I80.01"
"1336","I80.8"
"1337","I80.9"
"1338","I81"
"1339","I82.402"
"1340","I82.411"
"1341","I82.421"
"1342","I82.431"
"1343","I82.432"
"1344","I82.441"
"1345","I82.491"
"1346","I82.492"
"1347","I82.4Z2"
"1348","I82.611"
"1349","I82.622"
"1350","I82.B11"
"1351","I82.C19"
"1352","I83.90"
"1353","I83.92"
"1354","I83.93"
"1355","I85.00"
"1356","I85.10"
"1357","I86.2"
"1358","I87.1"
"1359","I87.2"
"1360","I89.0"
"1361","I95.1"
"1362","I95.2"
"1363","I95.89"
"1364","I95.9"
"1365","I97.2"
"1366","I97.3"
"1367","I97.410"
"1368","I97.620"
"1369","I97.88"
"1370","I97.89"
"1371","J00"
